Stock,rmn_se,rmse
OFSS.NS,63.260951272693134,21.39888789390397
GLAXO.NS,25.676346094813216,8.002466951948268
MINDTREE.NS,51.971882601739445,8.377998633831304
VOLTAS.NS,30.68366145416024,4.676186818129197
JINDALSTEL.NS,7.696442362287611,2.129359173574484
ASTRAL.NS,73.24163937222092,10.415138391638514
SRTRANSFIN.NS,32.21309772582862,11.425361734787783
VBL.NS,27.362316614535786,5.618423708650567
RECLTD.NS,5.161250024441687,1.2669547424314305
AUBANK.NS,23.6943782215678,7.316919748077018
GUJGASLTD.NS,13.693441377434544,1.9618634793250365
ABB.NS,26.886298102430946,9.09665701691796
SYNGENE.NS,13.251626448171557,2.6299822868089016
LTTS.NS,92.49831028287358,13.720729371555624
BHARATFORG.NS,12.312939732757764,4.325432342920172
TRENT.NS,14.678556887759903,4.5145769542861744
